IDENT, ,LATITUDE, ,LONGITUDE
 ,,,,
03MCT, ,"55° 08' 12.00"" N", ,"007° 11' 29.00"" W"
24DUB, ,"55° 05' 02.00"" N", ,"008° 34' 26.00"" W"
26DUB, ,"55° 10' 15.00"" N", ,"008° 27' 42.00"" W"
31MCT, ,"55° 21' 56.00"" N", ,"007° 54' 17.00"" W"
ABAPO, ,"52° 6' 10.00"" N", ,"4° 48' 12.00"" W"
ABBOT, ,"52° 0' 58.00"" N", ,"0° 35' 58.00"" E"
ABD01, ,"57° 10' 43.77"" N", ,"002° 10' 50.13"" W"
ABD04, ,"57° 09' 48.24"" N", ,"002° 10' 08.96"" W"
ABD07, ,"57° 05' 10.50"" N", ,"002° 06' 43.62"" W"
ABDUK, ,"51° 38' 34.00"" N", ,"3° 48' 1.00"" W"
ABEDA, ,"52° 19' 40.00"" N", ,"1° 52' 16.00"" E"
ABKAT, ,"54° 8' 53.00"" N", ,"1° 58' 47.00"" W"
ABLIN, ,"52° 46' 58.00"" N", ,"4° 59' 33.00"" W"
ABSUN, ,"54° 17' 32.00"" N", ,"6° 15' 18.00"" W"
ABTIN, ,"52° 25' 29.49"" N", ,"000° 35' 11.69"" E"
ADELU, ,"53° 26' 30.00"" N", ,"1° 32' 13.00"" W"
ADMIS, ,"51° 59' 49.00"" N", ,"0° 10' 36.00"" E"
ADN24, ,"56° 55' 32.00"" N", ,"002° 06' 59.00"" W"
ADN25, ,"57° 14' 53.18"" N", ,"002° 13' 55.88"" W"
ADN26, ,"56° 57' 34.70"" N", ,"002° 43' 57.92"" W"
ADN30, ,"56° 49' 21.00"" N", ,"002° 04' 35.00"" W"
ADN40, ,"56° 39' 35.00"" N", ,"002° 00' 50.00"" W"
ADN45, ,"57° 14' 24.81"" N", ,"002° 13' 12.05"" W"
ADN50, ,"57° 13' 02.14"" N", ,"002° 12' 33.26"" W"
ADN63, ,"57° 18' 24.11"" N", ,"002° 16' 33.24"" W"
ADNAM, ,"52° 6' 17.00"" N", ,"0° 44' 19.00"" E"
ADVUL, ,"52° 23' 53.59"" N", ,"000° 31' 50.92"" E"
AKIVO, ,"59° 57' 52.00"" N", ,"9° 30' 0.00"" W"
AKOKO, ,"53° 14' 16.00"" N", ,"3° 12' 7.00"" E"
AKUPA, ,"52° 29' 12.00"" N", ,"1° 5' 28.00"" W"
ALASO, ,"55° 26' 50.00"" N", ,"1° 33' 54.00"" W"
ALKIN, ,"51° 23' 26.00"" N", ,"0° 11' 41.00"" E"
ALPHA, ,"56° 24' 49.00"" N", ,"002° 19' 53.00"" W"
ALUTA, ,"49° 0' 19.00"" N", ,"7° 29' 53.00"" W"
ALVIN, ,"51° 39' 45.00"" N", ,"2° 40' 42.00"" W"
AMMAN, ,"51° 50' 26.00"" N", ,"3° 59' 54.00"" W"
AMRAL, ,"52° 6' 53.00"" N", ,"2° 54' 33.00"" W"
AMVEL, ,"53° 11' 3.00"" N", ,"0° 1' 55.00"" W"
ANGUS, ,"56° 41' 39.00"" N", ,"3° 3' 20.00"" W"
ANNET, ,"49° 39' 5.00"" N", ,"4° 0' 5.00"" W"
ANTEE, ,"52° 23' 38.95"" N", ,"000° 09' 56.94"" E"
APPLE, ,"54° 30' 0.00"" N", ,"2° 30' 50.00"" W"
ARSAT, ,"54° 32' 6.00"" N", ,"1° 44' 19.00"" W"
ARTEX, ,"56° 53' 41.00"" N", ,"3° 57' 38.00"" E"
ARTIX, ,"53° 23' 42.00"" N", ,"1° 2' 9.00"" W"
ARTOV, ,"51° 54' 19.00"" N", ,"1° 25' 33.00"" E"
ASKAM, ,"54° 57' 47.00"" N", ,"3° 13' 50.00"" E"
ASNIP, ,"53° 28' 43.00"" N", ,"2° 54' 26.00"" W"
ASPEN, ,"50° 17' 34.00"" N", ,"1° 48' 20.00"" W"
ASRAM, ,"52° 32' 50.23"" N", ,"000° 56' 59.76"" E"
ATF05, ,"57° 10' 45.44"" N", ,"002° 10' 52.60"" W"
ATSIX, ,"60° 0' 0.00"" N", ,"10° 0' 0.00"" W"
AVANT, ,"50° 49' 12.00"" N", ,"0° 56' 18.00"" W"
